dataset cartas;carta1;carta2;carta3;energy;Pd;Pn
;24041;23720;66.96;;23720;6897
;21508;19957;63.61;;19957;5359
;22893;22936;63.87;;22936;5045
;24978;24771;65.33;;24771;6093
;23385;22967;64.8;;22967;5045
;23208;23651;52.52;;23651;5052
;21329;21196;57.1;;21196;5205
;21329;21687;58.69;;21687;5483
;23329;23947;57.64;;23947;5593
;23550;23961;57.91;;23961;5818
;23399;23457;58.95;;23457;6068
;23776;23566;57.48;;23566;6071
;24223;31044;34.39;;31044;5837
;22245;25694;42.23;;25694;6083
;22102;23911;52.14;;23911;6086
;24607;26668;56.4;;26668;6089
;24823;28010;49.97;;28010;6090
;25021;31989;45.03;;31989;6088
;25232;30429;50.13;;30429;6097
;25130;28166;51.91;;28166;6094
;23197;24772;54.07;;24772;6095
;22975;24243;54.71;;24243;6096
;24164;26192;68.21;;26192;7103
;26778;28943;68.41;;28943;7112
;24083;26192;59.61;;26192;7096
;22286;23542;61.93;;23542;6902
;23968;26108;68.56;;26108;5058
;24344;24634;57;;24634;5021
;25679;26717;48.31;;26717;6108
;25641;26260;51.4;;26260;6583
;23997;24958;56.83;;24958;6868
;21200;21235;60.68;;21235;5850
;23043;21427;59.87;;21427;5049
;25273;25439;67.21;;25439;6092
;23575;23920;56.33;;23920;6092
;23395;28338;41.41;;28338;6408
;25374;27998;47.48;;27998;6436
;25020;27209;49.36;;27209;6448
;24970;26346;51.03;;26346;6680
;24684;25827;51.56;;25827;6709
;25026;25269;53.28;;25269;6301
;23126;27063;43.53;;27063;6767
;22854;24133;54.6;;24133;7076
;24078;25485;52.73;;25485;7096
;24119;24900;54.29;;24900;7099
;23278;25057;49.73;;25057;7099
;21426;22093;53.09;;22093;7106
;20390;22676;49.57;;22676;7104
;21818;23603;41.61;;23603;7102
;21688;29782;42.58;;29782;7096
;22324;27595;42.78;;27595;7082
;21924;23821;43.61;;23821;7097
;22056;26748;43.26;;26748;7087
;21632;20806;51.03;;20806;7080
;23121;23435;28.82;;23435;6099
;25292;30230;32.89;;30230;7092
;24882;29181;22.32;;29181;7096
;21990;26564;31.94;;26564;5087
;23717;23231;23.52;;23231;6086
;26609;25775;19.64;;25775;6619
;25125;23412;27.26;;23412;6953
;26487;26444;37.91;;26444;6956
;24135;22598;17.17;;22598;6970
;21261;22913;12.83;;22913;6031
;25058;27524;23.23;;27524;5062
;25382;24141;37.61;;24141;6092
;25936;32362;26.01;;32362;6075
;25688;27791;35.32;;27791;6091
;26495;30739;36.24;;30739;6091
;24791;27224;43.76;;27224;6095
;24656;29247;45.5;;29247;6091
;25831;30249;43.17;;30249;6089
;25955;27481;45.42;;27481;6097
;25797;30807;46.32;;30807;6096
;26102;29244;45.6;;29244;6096
;25682;25916;49.03;;25916;6097
;23640;23558;43.22;;23558;6097
;23121;27321;42.07;;27321;6094
;25028;23884;51.03;;23884;6094
;25294;24644;46.05;;24644;6095
;25087;24788;45.15;;24788;6097
;25299;24410;45.11;;24410;6097
;25660;24716;52.45;;24716;6095
;23820;28928;36.56;;28928;6098
;20515;26964;42.53;;26964;7050
;24903;23919;46.07;;23919;6100
;25540;29931;39.75;;29931;7110
;25029;24484;28.54;;24484;7100
;20732;25982;39.99;;25982;5087
;23820;22198;39.56;;22198;6078
;26316;24865;20.97;;24865;6963
;26036;24687;27.31;;24687;6947
;26905;26473;25.06;;26473;6966
;22225;20519;21.51;;20519;6998
;21129;21161;27.92;;21161;6036
;25421;27448;28.45;;27448;5042
;25904;31800;18.79;;31800;4257
;23696;30037;18.03;;30037;3736
;24590;28992;19.36;;28992;3737
;26025;32591;24.66;;32591;4674
